time,open,high,low,close,Volume,Volume MA,NV,USDCNH_close,USDJPY_close,USDGBP_close,USDCAD_close,USDCHF_close,USDNZD_close,EURUSD_close,EURCNH_close,EURJPY_close,EURGBP_close,EURCAD_close,EURCHF_close,EURNZD_close,AUDUSD_close,AUDCNH_close,AUDJPY_close,AUDGBP_close,AUDEUR_close,AUDCAD_close,AUDCHF_close,AUDNZD_close,SPX500_close,EURO50_close,AUS200_close,XAUUSD_close,WTIOIL_close
1698344160,0.63279,0.63283,0.63277,0.63277,78,134.8,-78,7.32414,150.382,0.824218846588146,1.38175,0.89913,1.7168560931222745,1.05556,7.72936,158.738,0.86998,1.45845,0.94908,1.81218,0.63277,4.63405,95.158,0.5215695069603451,0.5994952250205328,0.87431,0.56896,1.08636,4150.93,4041.47,6800.14,1985.58,83.459
1698344220,0.63277,0.63278,0.63272,0.63274,171,134.05,-171,7.32424,150.391,0.8242528148233627,1.38173,0.89913,1.7169150470434724,1.05555,7.72947,158.746,0.87001,1.45842,0.94907,1.81223,0.63274,4.63384,95.158,0.521550465223015,0.5994556942296395,0.87423,0.5689,1.08631,4151.67,4042.48,6801.12,1985.32,83.461
1698344280,0.63274,0.63279,0.63265,0.63276,155,134.4,155,7.32411,150.393,0.8242596088063897,1.38174,0.89909,1.7167381974248928,1.05559,7.7297,158.757,0.87005,1.45852,0.94907,1.81213,0.63276,4.63392,95.163,0.5215885500881485,0.5994628812583924,0.87429,0.56889,1.08623,4152.42,4043.47,6801.14,1985.43,83.369
1698344340,0.63276,0.63279,0.63268,0.63268,100,131.4,-100,7.32405,150.394,0.824334350012365,1.382,0.89912,1.716767669831242,1.05555,7.7292,158.75,0.8701,1.45872,0.94907,1.8121,0.63268,4.63324,95.15,0.5215640663220866,0.5994125756758377,0.87432,0.56884,1.08613,4150.93,4042.47,6800.13,1985.38,83.265
1698344400,0.63268,0.63276,0.63262,0.63262,140,129.5,-140,7.32411,150.407,0.8244023083264632,1.38215,0.89918,1.7170624495612907,1.05554,7.72913,158.76,0.87015,1.45887,0.94911,1.8124,0.63262,4.6329,95.15,0.5215531853860798,0.5993586862057598,0.87434,0.56883,1.08621,4150.29,4041.48,6800.13,1985.17,83.236
1698344460,0.63262,0.63262,0.63253,0.63255,130,126.8,-130,7.3247,150.403,0.8244226980057215,1.3822,0.89922,1.7170919331020982,1.05549,7.72946,158.753,0.87015,1.45884,0.94911,1.8124,0.63255,4.63268,95.14,0.5215178254792748,0.599319173418996,0.87427,0.56879,1.08615,4149.68,4041.49,6798.63,1984.99,83.324
1698344520,0.63255,0.63268,0.63255,0.63264,174,128.85,174,7.32447,150.404,0.8243615319934711,1.38204,0.8992,1.7168855695767877,1.0556,7.72994,158.767,0.87016,1.45882,0.94918,1.81229,0.63264,4.6332,95.151,0.5215559055775189,0.5993479094744918,0.87431,0.56887,1.08614,4150.68,4041.47,6799.13,1984.84,83.271
1698344580,0.63264,0.63275,0.63263,0.63268,170,131.55,170,7.32404,150.403,0.8243683277688472,1.38199,0.89917,1.716620317918083,1.05565,7.72978,158.775,0.87021,1.45884,0.94919,1.81213,0.63268,4.63322,95.156,0.5215776681305613,0.5993550939189431,0.87434,0.56888,1.08606,4150.41,4041.47,6799.12,1984.91,83.275
1698344640,0.63268,0.63273,0.63264,0.63265,165,131.6,-165,7.3239,150.397,0.824347940778844,1.38209,0.89912,1.716620317918083,1.05575,7.73042,158.782,0.87026,1.45907,0.94924,1.81225,0.63265,4.63304,95.15,0.521550465223015,0.5992796658416583,0.87437,0.56883,1.08599,4148.92,4040.47,6798.64,1985.21,83.266
1698344700,0.63265,0.63265,0.63249,0.63253,196,136.65,-196,7.32407,150.412,0.8244702778464835,1.38223,0.89917,1.7169740050135642,1.0557,7.73028,158.79,0.87035,1.45915,0.94925,1.81255,0.63253,4.63216,95.141,0.5215232651528585,0.5991827147770441,0.87427,0.56874,1.08596,4147.18,4039.49,6796.14,1985.27,83.254
1698344760,0.63253,0.63265,0.63253,0.6326,178,137.2,178,7.32457,150.425,0.8244294947896056,1.38209,0.89933,1.7168560931222745,1.05566,7.73058,158.795,0.8703,1.45897,0.94937,1.81235,0.6326,4.63288,95.158,0.5215531853860798,0.5992688919518188,0.87426,0.56889,1.08604,4150.42,4041.48,6799.12,1985.51,83.249
1698344820,0.6326,0.6326,0.63248,0.63248,90,134.4,-90,7.32485,150.413,0.8245110649384916,1.38237,0.8994,1.717032967032967,1.0556,7.73036,158.779,0.87032,1.45913,0.94939,1.81246,0.63248,4.63242,95.134,0.521506946472527,0.5991934855684249,0.87427,0.56885,1.08597,4149.42,4040.49,6798.14,1985.38,83.156
1698344880,0.63248,0.63263,0.63245,0.63263,151,136.4,151,7.32443,150.403,0.8243955119908328,1.38224,0.89931,1.7167381974248928,1.05571,7.73072,158.783,0.87029,1.45916,0.9494,1.81227,0.63263,4.63291,95.148,0.5215477450883241,0.5992688919518188,0.87438,0.56891,1.08597,4151.93,4041.47,6799.62,1985.36,83.175
1698344940,0.63263,0.63268,0.63255,0.63267,152,137.7,152,7.32407,150.412,0.8243411453395874,1.38215,0.89935,1.716531918911032,1.05579,7.73093,158.803,0.8703,1.45919,0.94952,1.8123,0.63267,4.6332,95.162,0.5215477450883241,0.5992653007412913,0.8744,0.569,1.08596,4153.91,4042.48,6801.14,1985.4,83.159
1698345000,0.63267,0.63269,0.6326,0.63267,174,139.75,0,7.32383,150.403,0.8242799914274881,1.38207,0.89932,1.7165024545985101,1.05589,7.73141,158.809,0.87035,1.45925,0.94958,1.81239,0.63267,4.63295,95.157,0.5215205453018822,0.5992078472259672,0.87435,0.56896,1.08597,4152.17,4041.48,6799.64,1985.57,83.234
1698345060,0.63267,0.63271,0.63262,0.63268,133,139.2,133,7.32387,150.402,0.824334350012365,1.38201,0.89932,1.7165024545985101,1.05586,7.73126,158.804,0.87036,1.45914,0.94958,1.81232,0.63268,4.63298,95.156,0.521550465223015,0.5992222095719756,0.87431,0.56896,1.08591,4153.66,4042.49,6801.14,1985.78,83.25
1698345120,0.63268,0.63291,0.63266,0.63288,188,143.6,188,7.32358,150.392,0.8241237504223633,1.38183,0.89919,1.7159133806925428,1.05617,7.73298,158.836,0.87039,1.45937,0.94968,1.81229,0.63288,4.63436,95.181,0.5215939912372209,0.5992617095738051,0.8745,0.56909,1.08597,4157.66,4045.48,6804.12,1985.71,83.226
1698345180,0.63288,0.63305,0.63288,0.63304,227,149.25,227,7.32339,150.383,0.8239132584121545,1.38173,0.899,1.7154718405297378,1.05642,7.73489,158.865,0.87038,1.45963,0.94972,1.81221,0.63304,4.63547,95.197,0.5215831090525964,0.59924375438197,0.87464,0.56908,1.08594,4160.17,4046.49,6806.12,1985.88,83.125
1698345240,0.63304,0.63304,0.63293,0.63293,180,152.45,-180,7.32355,150.38,0.8240083060037245,1.38194,0.89903,1.71573673735502,1.05634,7.73439,158.853,0.87041,1.45972,0.94967,1.81235,0.63293,4.63474,95.18,0.5215423049040623,0.5991934855684249,0.87462,0.56899,1.08589,4159.18,4045.53,6805.13,1985.68,83.044
1698345300,0.63293,0.63293,0.63268,0.63274,173,156.25,-173,7.32407,150.39,0.8241509185161986,1.3821,0.89912,1.7163256899629276,1.05616,7.73361,158.835,0.8704,1.45965,0.94958,1.81267,0.63274,4.63354,95.158,0.5214851898206091,0.5991073300781835,0.87444,0.56889,1.08595,4156.66,4043.49,6804.12,1985.48,83.001
1698345360,0.63274,0.63285,0.63272,0.63284,175,161.1,175,7.32366,150.399,0.8241237504223633,1.38199,0.89911,1.7164140677296993,1.05615,7.73301,158.846,0.87037,1.45952,0.94959,1.81276,0.63284,4.63401,95.179,0.5215450249820067,0.5992222095719756,0.87453,0.56898,1.08618,4159.92,4045.48,6805.63,1985.35,83.034
1698345420,0.63284,0.63284,0.63277,0.63278,119,158.5,-119,7.32354,150.4,0.8241780884013418,1.38205,0.89916,1.7165024545985101,1.05606,7.73231,158.836,0.87037,1.45946,0.94955,1.81268,0.63278,4.63352,95.171,0.5215341448404627,0.5992078472259672,0.8745,0.56896,1.08613,4157.67,4044.48,6803.63,1985.42,83.034
1698345480,0.63278,0.63288,0.63278,0.6328,112,156.35,112,7.32361,150.402,0.8241780884013418,1.38205,0.89912,1.7164435290078957,1.05619,7.73317,158.852,0.87047,1.45963,0.94962,1.81283,0.6328,4.63365,95.175,0.5215586257973328,0.599168354324198,0.87451,0.56896,1.08612,4158.17,4044.51,6804.63,1985.63,83.085
