Trade #,Type,Signal,Date/Time,Price,Contracts,Profit $,Profit %,Cum. Profit $,Cum. Profit %,Run-up $,Run-up %,Drawdown $,Drawdown %
1,Entry Short,MomSE,2021-12-01 03:30,57128.23,1,-630.60,-1.1,-630.60,-0.63,417.10,0.73,630.60,1.1
1,Exit Short,MomLE,2021-12-01 08:30,57758.83,1,-630.60,-1.1,-630.60,-0.63,417.10,0.73,630.60,1.1
2,Entry Long,MomLE,2021-12-01 08:30,57758.83,1,-708.68,-1.23,-1339.28,-0.71,106.40,0.18,1017.64,1.76
2,Exit Long,MomSE,2021-12-01 10:15,57050.15,1,-708.68,-1.23,-1339.28,-0.71,106.40,0.18,1017.64,1.76
3,Entry Short,MomSE,2021-12-01 10:15,57050.15,1,-244.39,-0.43,-1583.67,-0.25,218.02,0.38,244.39,0.43
3,Exit Short,MomLE,2021-12-01 12:00,57294.54,1,-244.39,-0.43,-1583.67,-0.25,218.02,0.38,244.39,0.43
4,Entry Long,MomLE,2021-12-01 12:00,57294.54,1,1093.06,1.91,-490.61,1.11,1805.10,3.15,220.91,0.39
4,Exit Long,MomSE,2021-12-01 17:30,58387.60,1,1093.06,1.91,-490.61,1.11,1805.10,3.15,220.91,0.39
5,Entry Short,MomSE,2021-12-01 17:30,58387.60,1,1124.44,1.93,633.83,1.13,1918.38,3.29,235.47,0.4
5,Exit Short,MomLE,2021-12-01 23:30,57263.16,1,1124.44,1.93,633.83,1.13,1918.38,3.29,235.47,0.4
6,Entry Long,MomLE,2021-12-01 23:30,57263.16,1,-163.16,-0.28,470.67,-0.16,6.79,0.01,163.16,0.28
6,Exit Long,MomSE,2021-12-01 23:45,57100.00,1,-163.16,-0.28,470.67,-0.16,6.79,0.01,163.16,0.28
7,Entry Short,MomSE,2021-12-01 23:45,57100.00,1,-6.16,-0.01,464.51,-0.01,369.90,0.65,175.98,0.31
7,Exit Short,MomLE,2021-12-02 01:15,57106.16,1,-6.16,-0.01,464.51,-0.01,369.90,0.65,175.98,0.31
8,Entry Long,MomLE,2021-12-02 01:15,57106.16,1,-198.93,-0.35,265.58,-0.2,307.36,0.54,198.93,0.35
8,Exit Long,MomSE,2021-12-02 02:15,56907.23,1,-198.93,-0.35,265.58,-0.2,307.36,0.54,198.93,0.35
9,Entry Short,MomSE,2021-12-02 02:15,56907.23,1,-226.05,-0.4,39.53,-0.23,19.16,0.03,226.05,0.4
9,Exit Short,MomLE,2021-12-02 02:45,57133.28,1,-226.05,-0.4,39.53,-0.23,19.16,0.03,226.05,0.4
