Trade #,Type,Signal,Date/Time,Price,Contracts,Profit $,Profit %,Cum. Profit $,Cum. Profit %,Run-up $,Run-up %,Drawdown $,Drawdown %
1,Entry Short,ParSE,2021-12-01 02:00,57007.44,1,-105.95,-0.19,-105.95,-0.11,296.31,0.52,467.67,0.82
1,Exit Short,ParLE,2021-12-01 07:00,57113.39,1,-105.95,-0.19,-105.95,-0.11,296.31,0.52,467.67,0.82
2,Entry Long,ParLE,2021-12-01 07:00,57113.39,1,-162.07,-0.28,-268.02,-0.16,751.84,1.32,204.97,0.36
2,Exit Long,ParSE,2021-12-01 08:45,56951.32,1,-162.07,-0.28,-268.02,-0.16,751.84,1.32,204.97,0.36
3,Entry Short,ParSE,2021-12-01 08:45,56951.32,1,-417.31,-0.73,-685.33,-0.42,210.13,0.37,470.68,0.83
3,Exit Short,ParLE,2021-12-01 13:00,57368.63,1,-417.31,-0.73,-685.33,-0.42,210.13,0.37,470.68,0.83
4,Entry Long,ParLE,2021-12-01 13:00,57368.63,1,1260.50,2.2,575.17,1.27,1731.01,3.02,111.99,0.2
4,Exit Long,ParSE,2021-12-01 16:45,58629.13,1,1260.50,2.2,575.17,1.27,1731.01,3.02,111.99,0.2
5,Entry Short,ParSE,2021-12-01 16:45,58629.13,1,1649.48,2.81,2224.65,1.64,2159.91,3.68,10.32,0.02
5,Exit Short,ParLE,2021-12-01 21:45,56979.65,1,1649.48,2.81,2224.65,1.64,2159.91,3.68,10.32,0.02
6,Entry Long,ParLE,2021-12-01 21:45,56979.65,1,-149.57,-0.26,2075.08,-0.15,296.33,0.52,300.36,0.53
6,Exit Long,ParSE,2021-12-02 00:45,56830.08,1,-149.57,-0.26,2075.08,-0.15,296.33,0.52,300.36,0.53
7,Entry Short,ParSE,2021-12-02 00:45,56830.08,1,-424.29,-0.75,1650.79,-0.42,99.98,0.18,424.29,0.75
7,Exit Short,ParLE,2021-12-02 01:15,57254.37,1,-424.29,-0.75,1650.79,-0.42,99.98,0.18,424.29,0.75
8,Entry Long,ParLE,2021-12-02 01:15,57254.37,1,-365.28,-0.64,1285.51,-0.36,159.15,0.28,366.30,0.64
8,Exit Long,ParSE,2021-12-02 03:00,56889.09,1,-365.28,-0.64,1285.51,-0.36,159.15,0.28,366.30,0.64
9,Entry Short,ParSE,2021-12-02 03:00,56889.09,1,-68.13,-0.12,1217.38,-0.07,1049.24,1.84,68.13,0.12
9,Exit Short,ParLE,2021-12-02 05:15,56957.22,1,-68.13,-0.12,1217.38,-0.07,1049.24,1.84,68.13,0.12
10,Entry Long,ParLE,2021-12-02 05:15,56957.22,1,-320.66,-0.56,896.72,-0.32,281.91,0.49,529.82,0.93
10,Exit Long,ParSE,2021-12-02 09:45,56636.56,1,-320.66,-0.56,896.72,-0.32,281.91,0.49,529.82,0.93
11,Entry Short,ParSE,2021-12-02 09:45,56636.56,1,105.34,0.19,1002.06,0.1,573.43,1.01,216.86,0.38
11,Exit Short,ParLE,2021-12-02 12:45,56531.22,1,105.34,0.19,1002.06,0.1,573.43,1.01,216.86,0.38
12,Entry Long,ParLE,2021-12-02 12:45,56531.22,1,24.43,0.04,1026.49,0.02,882.30,1.56,400.22,0.71
12,Exit Long,ParSE,2021-12-02 15:15,56555.65,1,24.43,0.04,1026.49,0.02,882.30,1.56,400.22,0.71
13,Entry Short,ParSE,2021-12-02 15:15,56555.65,1,-66.41,-0.12,960.08,-0.07,501.65,0.89,243.34,0.43
13,Exit Short,ParLE,2021-12-02 18:45,56622.06,1,-66.41,-0.12,960.08,-0.07,501.65,0.89,243.34,0.43
14,Entry Long,ParLE,2021-12-02 18:45,56622.06,1,247.03,0.44,1207.11,0.24,665.81,1.18,87.07,0.15
14,Exit Long,ParSE,2021-12-02 22:00,56869.09,1,247.03,0.44,1207.11,0.24,665.81,1.18,87.07,0.15
