Trade #,Type,Signal,Date/Time,Price,Contracts,Profit $,Profit %,Cum. Profit $,Cum. Profit %,Run-up $,Run-up %,Drawdown $,Drawdown %
1,Entry Long,PivRevLE,2021-12-01 03:30,57399.73,1,-542.75,-0.95,-542.75,-0.54,75.38,0.13,542.75,0.95
1,Exit Long,PivRevSE,2021-12-01 05:30,56856.98,1,-542.75,-0.95,-542.75,-0.54,75.38,0.13,542.75,0.95
2,Entry Short,PivRevSE,2021-12-01 05:30,56856.98,1,-301.11,-0.53,-843.86,-0.3,145.85,0.26,301.11,0.53
2,Exit Short,PivRevLE,2021-12-01 07:00,57158.09,1,-301.11,-0.53,-843.86,-0.3,145.85,0.26,301.11,0.53
3,Entry Long,PivRevLE,2021-12-01 07:00,57158.09,1,-278.10,-0.49,-1121.96,-0.28,707.14,1.24,416.90,0.73
3,Exit Long,PivRevSE,2021-12-01 11:15,56879.99,1,-278.10,-0.49,-1121.96,-0.28,707.14,1.24,416.90,0.73
4,Entry Short,PivRevSE,2021-12-01 11:15,56879.99,1,-356.01,-0.63,-1477.97,-0.36,47.86,0.08,356.01,0.63
4,Exit Short,PivRevLE,2021-12-01 11:45,57236.00,1,-356.01,-0.63,-1477.97,-0.36,47.86,0.08,356.01,0.63
5,Entry Long,PivRevLE,2021-12-01 11:45,57236.00,1,-216.01,-0.38,-1693.98,-0.22,1863.64,3.26,216.01,0.38
5,Exit Long,PivRevSE,2021-12-01 20:15,57019.99,1,-216.01,-0.38,-1693.98,-0.22,1863.64,3.26,216.01,0.38
6,Entry Short,PivRevSE,2021-12-01 20:15,57019.99,1,-172.40,-0.3,-1866.38,-0.18,550.77,0.97,253.64,0.44
6,Exit Short,PivRevLE,2021-12-01 23:00,57192.39,1,-172.40,-0.3,-1866.38,-0.18,550.77,0.97,253.64,0.44
7,Entry Long,PivRevLE,2021-12-01 23:00,57192.39,1,-304.33,-0.53,-2170.71,-0.31,221.13,0.39,462.29,0.81
7,Exit Long,PivRevSE,2021-12-02 03:00,56888.06,1,-304.33,-0.53,-2170.71,-0.31,221.13,0.39,462.29,0.81
8,Entry Short,PivRevSE,2021-12-02 03:00,56888.06,1,-126.69,-0.22,-2297.40,-0.13,1048.21,1.84,137.73,0.24
8,Exit Short,PivRevLE,2021-12-02 08:15,57014.75,1,-126.69,-0.22,-2297.40,-0.13,1048.21,1.84,137.73,0.24
9,Entry Long,PivRevLE,2021-12-02 08:15,57014.75,1,-587.36,-1.03,-2884.76,-0.6,224.38,0.39,587.36,1.03
9,Exit Long,PivRevSE,2021-12-02 11:00,56427.39,1,-587.36,-1.03,-2884.76,-0.6,224.38,0.39,587.36,1.03
10,Entry Short,PivRevSE,2021-12-02 11:00,56427.39,1,-242.70,-0.43,-3127.46,-0.25,364.26,0.65,242.70,0.43
10,Exit Short,PivRevLE,2021-12-02 14:00,56670.09,1,-242.70,-0.43,-3127.46,-0.25,364.26,0.65,242.70,0.43
11,Entry Long,PivRevLE,2021-12-02 14:00,56670.09,1,-501.10,-0.88,-3628.56,-0.52,743.43,1.31,501.10,0.88
11,Exit Long,PivRevSE,2021-12-02 16:30,56168.99,1,-501.10,-0.88,-3628.56,-0.52,743.43,1.31,501.10,0.88
12,Entry Short,PivRevSE,2021-12-02 16:30,56168.99,1,-549.02,-0.98,-4177.58,-0.57,114.99,0.2,549.02,0.98
12,Exit Short,PivRevLE,2021-12-02 18:45,56718.01,1,-549.02,-0.98,-4177.58,-0.57,114.99,0.2,549.02,0.98
13,Entry Long,PivRevLE,2021-12-02 18:45,56718.01,1,115.98,0.2,-4061.60,0.12,569.86,1,183.02,0.32
13,Exit Long,PivRevSE,2021-12-02 22:00,56833.99,1,115.98,0.2,-4061.60,0.12,569.86,1,183.02,0.32
14,Entry Short,PivRevSE,2021-12-02 22:00,56833.99,1,263.21,0.46,-3798.39,0.27,713.92,1.26,132.25,0.23
14,Exit Short,PivRevLE,2021-12-03 04:15,56570.78,1,263.21,0.46,-3798.39,0.27,713.92,1.26,132.25,0.23
15,Entry Long,PivRevLE,2021-12-03 04:15,56570.78,1,-67.00,-0.12,-3865.39,-0.07,499.50,0.88,100.92,0.18
