Trade #,Type,Signal,Date/Time,Price,Contracts,Profit $,Profit %,Cum. Profit $,Cum. Profit %,Run-up $,Run-up %,Drawdown $,Drawdown %
1,Entry Long,MomLE,2022-02-07 01:30,41995.83,1,771.50,1.84,771.50,0.77,1071.91,2.55,0,0
1,Exit Long,MomSE,2022-02-07 05:45,42767.33,1,771.50,1.84,771.50,0.77,1071.91,2.55,0,0
2,Entry Short,MomSE,2022-02-07 05:45,42767.33,1,-81.86,-0.19,689.64,-0.08,33.30,0.08,81.86,0.19
2,Exit Short,MomLE,2022-02-07 05:50,42849.19,1,-81.86,-0.19,689.64,-0.08,33.30,0.08,81.86,0.19
3,Entry Long,MomLE,2022-02-07 05:50,42849.19,1,-32.09,-0.07,657.55,-0.03,29.79,0.07,63.67,0.15
3,Exit Long,MomSE,2022-02-07 06:00,42817.10,1,-32.09,-0.07,657.55,-0.03,29.79,0.07,63.67,0.15
4,Entry Short,MomSE,2022-02-07 06:00,42817.10,1,7.72,0.02,665.27,0.01,111.25,0.26,49.81,0.12
4,Exit Short,MomLE,2022-02-07 07:25,42809.38,1,7.72,0.02,665.27,0.01,111.25,0.26,49.81,0.12
5,Entry Long,MomLE,2022-02-07 07:25,42809.38,1,-82.72,-0.19,582.55,-0.08,22.47,0.05,82.72,0.19
5,Exit Long,MomSE,2022-02-07 07:35,42726.66,1,-82.72,-0.19,582.55,-0.08,22.47,0.05,82.72,0.19
6,Entry Short,MomSE,2022-02-07 07:35,42726.66,1,60.67,0.14,643.22,0.06,158.90,0.37,81.34,0.19
6,Exit Short,MomLE,2022-02-07 08:50,42665.99,1,60.67,0.14,643.22,0.06,158.90,0.37,81.34,0.19
7,Entry Long,MomLE,2022-02-07 08:50,42665.99,1,-43.93,-0.1,599.29,-0.04,44.01,0.1,43.93,0.1
7,Exit Long,MomSE,2022-02-07 09:00,42622.06,1,-43.93,-0.1,599.29,-0.04,44.01,0.1,43.93,0.1
8,Entry Short,MomSE,2022-02-07 09:00,42622.06,1,-4.87,-0.01,594.42,0,354.81,0.83,55.84,0.13
8,Exit Short,MomLE,2022-02-07 10:40,42626.93,1,-4.87,-0.01,594.42,0,354.81,0.83,55.84,0.13
9,Entry Long,MomLE,2022-02-07 10:40,42626.93,1,15.86,0.04,610.28,0.02,197.06,0.46,70.17,0.16
9,Exit Long,MomSE,2022-02-07 12:10,42642.79,1,15.86,0.04,610.28,0.02,197.06,0.46,70.17,0.16
