Trade #,Type,Signal,Date/Time,Price,Contracts,Profit $,Profit %,Cum. Profit $,Cum. Profit %,Run-up $,Run-up %,Drawdown $,Drawdown %
1,Entry Short,MomSE,2022-03-07 00:14,38375.42,1,-42.38,-0.11,-42.38,-0.04,354.03,0.92,42.38,0.11
1,Exit Short,MomLE,2022-03-07 00:25,38417.80,1,-42.38,-0.11,-42.38,-0.04,354.03,0.92,42.38,0.11
2,Entry Long,MomLE,2022-03-07 00:25,38417.80,1,-99.40,-0.26,-141.78,-0.1,114.24,0.3,123.68,0.32
2,Exit Long,MomSE,2022-03-07 00:45,38318.40,1,-99.40,-0.26,-141.78,-0.1,114.24,0.3,123.68,0.32
3,Entry Short,MomSE,2022-03-07 00:45,38318.40,1,-20.14,-0.05,-161.92,-0.02,85.31,0.22,26.97,0.07
3,Exit Short,MomLE,2022-03-07 00:58,38338.54,1,-20.14,-0.05,-161.92,-0.02,85.31,0.22,26.97,0.07
4,Entry Long,MomLE,2022-03-07 00:58,38338.54,1,67.53,0.18,-94.39,0.07,139.33,0.36,0,0
4,Exit Long,MomSE,2022-03-07 01:14,38406.07,1,67.53,0.18,-94.39,0.07,139.33,0.36,0,0
5,Entry Short,MomSE,2022-03-07 01:14,38406.07,1,-103.99,-0.27,-198.38,-0.1,7.41,0.02,103.99,0.27
5,Exit Short,MomLE,2022-03-07 01:17,38510.06,1,-103.99,-0.27,-198.38,-0.1,7.41,0.02,103.99,0.27
6,Entry Long,MomLE,2022-03-07 01:17,38510.06,1,-24.71,-0.06,-223.09,-0.02,46.21,0.12,97.12,0.25
6,Exit Long,MomSE,2022-03-07 01:46,38485.35,1,-24.71,-0.06,-223.09,-0.02,46.21,0.12,97.12,0.25
7,Entry Short,MomSE,2022-03-07 01:46,38485.35,1,141.59,0.37,-81.50,0.14,234.23,0.61,12.83,0.03
7,Exit Short,MomLE,2022-03-07 02:17,38343.76,1,141.59,0.37,-81.50,0.14,234.23,0.61,12.83,0.03
8,Entry Long,MomLE,2022-03-07 02:17,38343.76,1,-164.02,-0.43,-245.52,-0.16,12.90,0.03,164.02,0.43
8,Exit Long,MomSE,2022-03-07 02:23,38179.74,1,-164.02,-0.43,-245.52,-0.16,12.90,0.03,164.02,0.43
9,Entry Short,MomSE,2022-03-07 02:23,38179.74,1,66.42,0.17,-179.10,0.07,271.63,0.71,2.63,0.01
9,Exit Short,MomLE,2022-03-07 02:37,38113.32,1,66.42,0.17,-179.10,0.07,271.63,0.71,2.63,0.01
10,Entry Long,MomLE,2022-03-07 02:37,38113.32,1,-27.61,-0.07,-206.71,-0.03,0,0,27.61,0.07
10,Exit Long,MomSE,2022-03-07 02:38,38085.71,1,-27.61,-0.07,-206.71,-0.03,0,0,27.61,0.07
11,Entry Short,MomSE,2022-03-07 02:38,38085.71,1,-6.20,-0.02,-212.91,-0.01,5.68,0.01,20.31,0.05
11,Exit Short,MomLE,2022-03-07 02:40,38091.91,1,-6.20,-0.02,-212.91,-0.01,5.68,0.01,20.31,0.05
12,Entry Long,MomLE,2022-03-07 02:40,38091.91,1,-44.62,-0.12,-257.53,-0.04,46.77,0.12,44.62,0.12
12,Exit Long,MomSE,2022-03-07 02:44,38047.29,1,-44.62,-0.12,-257.53,-0.04,46.77,0.12,44.62,0.12
13,Entry Short,MomSE,2022-03-07 02:44,38047.29,1,271.48,0.71,13.95,0.27,447.29,1.18,72.62,0.19
13,Exit Short,MomLE,2022-03-07 03:04,37775.81,1,271.48,0.71,13.95,0.27,447.29,1.18,72.62,0.19
14,Entry Long,MomLE,2022-03-07 03:04,37775.81,1,-130.99,-0.35,-117.04,-0.13,19.91,0.05,130.99,0.35
14,Exit Long,MomSE,2022-03-07 03:08,37644.82,1,-130.99,-0.35,-117.04,-0.13,19.91,0.05,130.99,0.35
15,Entry Short,MomSE,2022-03-07 03:08,37644.82,1,-49.24,-0.13,-166.28,-0.05,19.68,0.05,49.24,0.13
15,Exit Short,MomLE,2022-03-07 03:09,37694.06,1,-49.24,-0.13,-166.28,-0.05,19.68,0.05,49.24,0.13
16,Entry Long,MomLE,2022-03-07 03:09,37694.06,1,-38.19,-0.1,-204.47,-0.04,2.14,0.01,38.19,0.1
16,Exit Long,MomSE,2022-03-07 03:10,37655.87,1,-38.19,-0.1,-204.47,-0.04,2.14,0.01,38.19,0.1
17,Entry Short,MomSE,2022-03-07 03:10,37655.87,1,-11.23,-0.03,-215.70,-0.01,63.14,0.17,129.28,0.34
17,Exit Short,MomLE,2022-03-07 03:20,37667.10,1,-11.23,-0.03,-215.70,-0.01,63.14,0.17,129.28,0.34
18,Entry Long,MomLE,2022-03-07 03:20,37667.10,1,218.49,0.58,2.79,0.22,327.42,0.87,0,0
18,Exit Long,MomSE,2022-03-07 03:59,37885.59,1,218.49,0.58,2.79,0.22,327.42,0.87,0,0
19,Entry Short,MomSE,2022-03-07 03:59,37885.59,1,-7.54,-0.02,-4.75,-0.01,107.44,0.28,37.07,0.1
19,Exit Short,MomLE,2022-03-07 04:16,37893.13,1,-7.54,-0.02,-4.75,-0.01,107.44,0.28,37.07,0.1
20,Entry Long,MomLE,2022-03-07 04:16,37893.13,1,18.12,0.05,13.37,0.02,88.58,0.23,0,0
