Trade #,Type,Signal,Date/Time,Price,Contracts,Profit $,Profit %,Cum. Profit $,Cum. Profit %,Run-up $,Run-up %,Drawdown $,Drawdown %
1,Entry Long,ParLE,2022-02-07 01:25,41909.67,1,549.00,1.31,549.00,0.55,775.57,1.85,0,0
1,Exit Long,ParSE,2022-02-07 02:55,42458.67,1,549.00,1.31,549.00,0.55,775.57,1.85,0,0
2,Entry Short,ParSE,2022-02-07 02:55,42458.67,1,-189.82,-0.45,359.18,-0.19,95.44,0.22,189.82,0.45
2,Exit Short,ParLE,2022-02-07 03:25,42648.49,1,-189.82,-0.45,359.18,-0.19,95.44,0.22,189.82,0.45
3,Entry Long,ParLE,2022-02-07 03:25,42648.49,1,148.75,0.35,507.93,0.15,351.51,0.82,25.16,0.06
3,Exit Long,ParSE,2022-02-07 05:20,42797.24,1,148.75,0.35,507.93,0.15,351.51,0.82,25.16,0.06
4,Entry Short,ParSE,2022-02-07 05:20,42797.24,1,-198.62,-0.46,309.31,-0.2,4.42,0.01,198.62,0.46
4,Exit Short,ParLE,2022-02-07 05:25,42995.86,1,-198.62,-0.46,309.31,-0.2,4.42,0.01,198.62,0.46
5,Entry Long,ParLE,2022-02-07 05:25,42995.86,1,-197.55,-0.46,111.76,-0.2,71.88,0.17,197.55,0.46
5,Exit Long,ParSE,2022-02-07 05:30,42798.31,1,-197.55,-0.46,111.76,-0.2,71.88,0.17,197.55,0.46
6,Entry Short,ParSE,2022-02-07 05:30,42798.31,1,-39.56,-0.09,72.20,-0.04,91.48,0.21,122.79,0.29
6,Exit Short,ParLE,2022-02-07 06:55,42837.87,1,-39.56,-0.09,72.20,-0.04,91.48,0.21,122.79,0.29
7,Entry Long,ParLE,2022-02-07 06:55,42837.87,1,-125.73,-0.29,-53.53,-0.13,3.16,0.01,125.73,0.29
7,Exit Long,ParSE,2022-02-07 07:05,42712.14,1,-125.73,-0.29,-53.53,-0.13,3.16,0.01,125.73,0.29
8,Entry Short,ParSE,2022-02-07 07:05,42712.14,1,-115.91,-0.27,-169.44,-0.12,6.29,0.01,115.91,0.27
8,Exit Short,ParLE,2022-02-07 07:30,42828.05,1,-115.91,-0.27,-169.44,-0.12,6.29,0.01,115.91,0.27
9,Entry Long,ParLE,2022-02-07 07:30,42828.05,1,-117.22,-0.27,-286.66,-0.12,3.80,0.01,117.22,0.27
9,Exit Long,ParSE,2022-02-07 07:40,42710.83,1,-117.22,-0.27,-286.66,-0.12,3.80,0.01,117.22,0.27
10,Entry Short,ParSE,2022-02-07 07:40,42710.83,1,-82.69,-0.19,-369.35,-0.08,119.62,0.28,82.69,0.19
10,Exit Short,ParLE,2022-02-07 08:00,42793.52,1,-82.69,-0.19,-369.35,-0.08,119.62,0.28,82.69,0.19
11,Entry Long,ParLE,2022-02-07 08:00,42793.52,1,-189.57,-0.44,-558.92,-0.19,14.48,0.03,189.57,0.44
11,Exit Long,ParSE,2022-02-07 08:15,42603.95,1,-189.57,-0.44,-558.92,-0.19,14.48,0.03,189.57,0.44
12,Entry Short,ParSE,2022-02-07 08:15,42603.95,1,133.06,0.31,-425.86,0.13,336.70,0.79,106.05,0.25
12,Exit Short,ParLE,2022-02-07 09:55,42470.89,1,133.06,0.31,-425.86,0.13,336.70,0.79,106.05,0.25
