Trade #,Type,Signal,Date/Time,Price,Contracts,Profit $,Profit %,Cum. Profit $,Cum. Profit %,Run-up $,Run-up %,Drawdown $,Drawdown %
1,Entry Short,ParSE,2022-03-07 00:03,38371.75,1,-40.86,-0.11,-40.86,-0.04,91.59,0.24,46.02,0.12
1,Exit Short,ParLE,2022-03-07 00:13,38412.61,1,-40.86,-0.11,-40.86,-0.04,91.59,0.24,46.02,0.12
2,Entry Long,ParLE,2022-03-07 00:13,38412.61,1,-124.67,-0.32,-165.53,-0.12,0,0,124.67,0.32
2,Exit Long,ParSE,2022-03-07 00:16,38287.94,1,-124.67,-0.32,-165.53,-0.12,0,0,124.67,0.32
3,Entry Short,ParSE,2022-03-07 00:16,38287.94,1,-34.77,-0.09,-200.30,-0.03,266.55,0.7,34.77,0.09
3,Exit Short,ParLE,2022-03-07 00:24,38322.71,1,-34.77,-0.09,-200.30,-0.03,266.55,0.7,34.77,0.09
4,Entry Long,ParLE,2022-03-07 00:24,38322.71,1,-4.31,-0.01,-204.61,0,209.33,0.55,28.59,0.07
4,Exit Long,ParSE,2022-03-07 00:45,38318.40,1,-4.31,-0.01,-204.61,0,209.33,0.55,28.59,0.07
5,Entry Short,ParSE,2022-03-07 00:45,38318.40,1,-20.14,-0.05,-224.75,-0.02,85.31,0.22,26.97,0.07
5,Exit Short,ParLE,2022-03-07 00:58,38338.54,1,-20.14,-0.05,-224.75,-0.02,85.31,0.22,26.97,0.07
6,Entry Long,ParLE,2022-03-07 00:58,38338.54,1,71.12,0.19,-153.63,0.07,139.33,0.36,0,0
6,Exit Long,ParSE,2022-03-07 01:14,38409.66,1,71.12,0.19,-153.63,0.07,139.33,0.36,0,0
7,Entry Short,ParSE,2022-03-07 01:14,38409.66,1,-100.40,-0.26,-254.03,-0.1,11.00,0.03,100.40,0.26
7,Exit Short,ParLE,2022-03-07 01:17,38510.06,1,-100.40,-0.26,-254.03,-0.1,11.00,0.03,100.40,0.26
8,Entry Long,ParLE,2022-03-07 01:17,38510.06,1,-93.74,-0.24,-347.77,-0.09,24.04,0.06,93.74,0.24
8,Exit Long,ParSE,2022-03-07 01:31,38416.32,1,-93.74,-0.24,-347.77,-0.09,24.04,0.06,93.74,0.24
9,Entry Short,ParSE,2022-03-07 01:31,38416.32,1,-115.36,-0.3,-463.13,-0.12,3.38,0.01,115.36,0.3
9,Exit Short,ParLE,2022-03-07 01:32,38531.68,1,-115.36,-0.3,-463.13,-0.12,3.38,0.01,115.36,0.3
10,Entry Long,ParLE,2022-03-07 01:32,38531.68,1,-99.67,-0.26,-562.80,-0.1,24.59,0.06,99.67,0.26
10,Exit Long,ParSE,2022-03-07 01:48,38432.01,1,-99.67,-0.26,-562.80,-0.1,24.59,0.06,99.67,0.26
11,Entry Short,ParSE,2022-03-07 01:48,38432.01,1,61.91,0.16,-500.89,0.06,156.29,0.41,15.79,0.04
11,Exit Short,ParLE,2022-03-07 02:02,38370.10,1,61.91,0.16,-500.89,0.06,156.29,0.41,15.79,0.04
12,Entry Long,ParLE,2022-03-07 02:02,38370.10,1,-112.23,-0.29,-613.12,-0.11,1.11,0,112.23,0.29
12,Exit Long,ParSE,2022-03-07 02:08,38257.87,1,-112.23,-0.29,-613.12,-0.11,1.11,0,112.23,0.29
13,Entry Short,ParSE,2022-03-07 02:08,38257.87,1,-75.01,-0.2,-688.13,-0.08,6.75,0.02,75.01,0.2
13,Exit Short,ParLE,2022-03-07 02:16,38332.88,1,-75.01,-0.2,-688.13,-0.08,6.75,0.02,75.01,0.2
14,Entry Long,ParLE,2022-03-07 02:16,38332.88,1,-82.05,-0.21,-770.18,-0.08,23.78,0.06,82.05,0.21
14,Exit Long,ParSE,2022-03-07 02:22,38250.83,1,-82.05,-0.21,-770.18,-0.08,23.78,0.06,82.05,0.21
15,Entry Short,ParSE,2022-03-07 02:22,38250.83,1,122.02,0.32,-648.16,0.12,342.72,0.9,0,0
15,Exit Short,ParLE,2022-03-07 02:35,38128.81,1,122.02,0.32,-648.16,0.12,342.72,0.9,0,0
16,Entry Long,ParLE,2022-03-07 02:35,38128.81,1,-147.61,-0.39,-795.77,-0.15,9.87,0.03,147.61,0.39
16,Exit Long,ParSE,2022-03-07 02:48,37981.20,1,-147.61,-0.39,-795.77,-0.15,9.87,0.03,147.61,0.39
17,Entry Short,ParSE,2022-03-07 02:48,37981.20,1,141.33,0.37,-654.44,0.14,381.20,1,0,0
17,Exit Short,ParLE,2022-03-07 03:01,37839.87,1,141.33,0.37,-654.44,0.14,381.20,1,0,0
18,Entry Long,ParLE,2022-03-07 03:01,37839.87,1,-207.59,-0.55,-862.03,-0.21,4.93,0.01,207.59,0.55
18,Exit Long,ParSE,2022-03-07 03:08,37632.28,1,-207.59,-0.55,-862.03,-0.21,4.93,0.01,207.59,0.55
19,Entry Short,ParSE,2022-03-07 03:08,37632.28,1,-145.32,-0.39,-1007.35,-0.15,39.55,0.11,145.32,0.39
19,Exit Short,ParLE,2022-03-07 03:16,37777.60,1,-145.32,-0.39,-1007.35,-0.15,39.55,0.11,145.32,0.39
20,Entry Long,ParLE,2022-03-07 03:16,37777.60,1,120.78,0.32,-886.57,0.12,182.21,0.48,150.86,0.4
20,Exit Long,ParSE,2022-03-07 03:42,37898.38,1,120.78,0.32,-886.57,0.12,182.21,0.48,150.86,0.4
21,Entry Short,ParSE,2022-03-07 03:42,37898.38,1,-61.43,-0.16,-948.00,-0.06,0,0,61.43,0.16
21,Exit Short,ParLE,2022-03-07 03:46,37959.81,1,-61.43,-0.16,-948.00,-0.06,0,0,61.43,0.16
22,Entry Long,ParLE,2022-03-07 03:46,37959.81,1,-66.52,-0.18,-1014.52,-0.07,34.71,0.09,66.52,0.18
22,Exit Long,ParSE,2022-03-07 03:50,37893.29,1,-66.52,-0.18,-1014.52,-0.07,34.71,0.09,66.52,0.18
23,Entry Short,ParSE,2022-03-07 03:50,37893.29,1,51.53,0.14,-962.99,0.05,115.14,0.3,30.79,0.08
23,Exit Short,ParLE,2022-03-07 04:13,37841.76,1,51.53,0.14,-962.99,0.05,115.14,0.3,30.79,0.08
24,Entry Long,ParLE,2022-03-07 04:13,37841.76,1,75.97,0.2,-887.02,0.08,112.98,0.3,0,0
24,Exit Long,ParSE,2022-03-07 04:31,37917.73,1,75.97,0.2,-887.02,0.08,112.98,0.3,0,0
25,Entry Short,ParSE,2022-03-07 04:31,37917.73,1,-40.17,-0.11,-927.19,-0.04,10.14,0.03,40.17,0.11
25,Exit Short,ParLE,2022-03-07 04:33,37957.90,1,-40.17,-0.11,-927.19,-0.04,10.14,0.03,40.17,0.11
26,Entry Long,ParLE,2022-03-07 04:33,37957.90,1,-27.31,-0.07,-954.50,-0.03,23.81,0.06,27.31,0.07
26,Exit Long,ParSE,2022-03-07 04:40,37930.59,1,-27.31,-0.07,-954.50,-0.03,23.81,0.06,27.31,0.07
27,Entry Short,ParSE,2022-03-07 04:40,37930.59,1,-30.49,-0.08,-984.99,-0.03,40.19,0.11,30.49,0.08
27,Exit Short,ParLE,2022-03-07 04:48,37961.08,1,-30.49,-0.08,-984.99,-0.03,40.19,0.11,30.49,0.08
28,Entry Long,ParLE,2022-03-07 04:48,37961.08,1,-41.46,-0.11,-1026.45,-0.04,36.84,0.1,41.46,0.11
28,Exit Long,ParSE,2022-03-07 04:55,37919.62,1,-41.46,-0.11,-1026.45,-0.04,36.84,0.1,41.46,0.11
29,Entry Short,ParSE,2022-03-07 04:55,37919.62,1,15.60,0.04,-1010.85,0.02,79.73,0.21,44.94,0.12
29,Exit Short,ParLE,2022-03-07 05:13,37904.02,1,15.60,0.04,-1010.85,0.02,79.73,0.21,44.94,0.12
30,Entry Long,ParLE,2022-03-07 05:13,37904.02,1,209.97,0.55,-800.88,0.21,345.98,0.91,0,0
30,Exit Long,ParSE,2022-03-07 05:26,38113.99,1,209.97,0.55,-800.88,0.21,345.98,0.91,0,0
31,Entry Short,ParSE,2022-03-07 05:26,38113.99,1,-32.21,-0.08,-833.09,-0.03,76.65,0.2,32.24,0.08
31,Exit Short,ParLE,2022-03-07 05:40,38146.20,1,-32.21,-0.08,-833.09,-0.03,76.65,0.2,32.24,0.08
32,Entry Long,ParLE,2022-03-07 05:40,38146.20,1,-51.92,-0.14,-885.01,-0.05,29.00,0.08,51.92,0.14
32,Exit Long,ParSE,2022-03-07 05:58,38094.28,1,-51.92,-0.14,-885.01,-0.05,29.00,0.08,51.92,0.14
