Trade #,Type,Signal,Date/Time,Price,Contracts,Profit $,Profit %,Cum. Profit $,Cum. Profit %,Run-up $,Run-up %,Drawdown $,Drawdown %
1,Entry Short,PivRevSE,2022-03-07 00:09,38292.54,1,-125.26,-0.33,-125.26,-0.13,271.15,0.71,125.26,0.33
1,Exit Short,PivRevLE,2022-03-07 00:25,38417.80,1,-125.26,-0.33,-125.26,-0.13,271.15,0.71,125.26,0.33
2,Entry Long,PivRevLE,2022-03-07 00:25,38417.80,1,-144.08,-0.38,-269.34,-0.14,114.24,0.3,144.08,0.38
2,Exit Long,PivRevSE,2022-03-07 00:46,38273.72,1,-144.08,-0.38,-269.34,-0.14,114.24,0.3,144.08,0.38
3,Entry Short,PivRevSE,2022-03-07 00:46,38273.72,1,-64.82,-0.17,-334.16,-0.06,40.63,0.11,71.65,0.19
3,Exit Short,PivRevLE,2022-03-07 00:58,38338.54,1,-64.82,-0.17,-334.16,-0.06,40.63,0.11,71.65,0.19
4,Entry Long,PivRevLE,2022-03-07 00:58,38338.54,1,77.78,0.2,-256.38,0.08,195.56,0.51,0,0
4,Exit Long,PivRevSE,2022-03-07 01:31,38416.32,1,77.78,0.2,-256.38,0.08,195.56,0.51,0,0
5,Entry Short,PivRevSE,2022-03-07 01:31,38416.32,1,-117.79,-0.31,-374.17,-0.12,3.38,0.01,117.79,0.31
5,Exit Short,PivRevLE,2022-03-07 01:32,38534.11,1,-117.79,-0.31,-374.17,-0.12,3.38,0.01,117.79,0.31
6,Entry Long,PivRevLE,2022-03-07 01:32,38534.11,1,-48.76,-0.13,-422.93,-0.05,22.16,0.06,48.76,0.13
6,Exit Long,PivRevSE,2022-03-07 01:46,38485.35,1,-48.76,-0.13,-422.93,-0.05,22.16,0.06,48.76,0.13
7,Entry Short,PivRevSE,2022-03-07 01:46,38485.35,1,700.19,1.82,277.26,0.7,892.62,2.32,12.83,0.03
7,Exit Short,PivRevLE,2022-03-07 03:24,37785.16,1,700.19,1.82,277.26,0.7,892.62,2.32,12.83,0.03
8,Entry Long,PivRevLE,2022-03-07 03:24,37785.16,1,80.89,0.21,358.15,0.08,209.36,0.55,9.43,0.02
8,Exit Long,PivRevSE,2022-03-07 03:59,37866.05,1,80.89,0.21,358.15,0.08,209.36,0.55,9.43,0.02
9,Entry Short,PivRevSE,2022-03-07 03:59,37866.05,1,-56.62,-0.15,301.53,-0.06,87.90,0.23,56.62,0.15
9,Exit Short,PivRevLE,2022-03-07 04:18,37922.67,1,-56.62,-0.15,301.53,-0.06,87.90,0.23,56.62,0.15
10,Entry Long,PivRevLE,2022-03-07 04:18,37922.67,1,-15.09,-0.04,286.44,-0.02,59.04,0.16,26.02,0.07
10,Exit Long,PivRevSE,2022-03-07 04:40,37907.58,1,-15.09,-0.04,286.44,-0.02,59.04,0.16,26.02,0.07
11,Entry Short,PivRevSE,2022-03-07 04:40,37907.58,1,-34.12,-0.09,252.32,-0.03,17.18,0.05,34.12,0.09
11,Exit Short,PivRevLE,2022-03-07 04:48,37941.70,1,-34.12,-0.09,252.32,-0.03,17.18,0.05,34.12,0.09
12,Entry Long,PivRevLE,2022-03-07 04:48,37941.70,1,-56.81,-0.15,195.51,-0.06,56.22,0.15,56.81,0.15
12,Exit Long,PivRevSE,2022-03-07 04:56,37884.89,1,-56.81,-0.15,195.51,-0.06,56.22,0.15,56.81,0.15
13,Entry Short,PivRevSE,2022-03-07 04:56,37884.89,1,-79.68,-0.21,115.83,-0.08,45.00,0.12,79.68,0.21
13,Exit Short,PivRevLE,2022-03-07 05:15,37964.57,1,-79.68,-0.21,115.83,-0.08,45.00,0.12,79.68,0.21
14,Entry Long,PivRevLE,2022-03-07 05:15,37964.57,1,131.09,0.35,246.92,0.13,285.43,0.75,0,0
14,Exit Long,PivRevSE,2022-03-07 05:29,38095.66,1,131.09,0.35,246.92,0.13,285.43,0.75,0,0
15,Entry Short,PivRevSE,2022-03-07 05:29,38095.66,1,-7.82,-0.02,239.10,-0.01,58.32,0.15,7.82,0.02
15,Exit Short,PivRevLE,2022-03-07 05:37,38103.48,1,-7.82,-0.02,239.10,-0.01,58.32,0.15,7.82,0.02
16,Entry Long,PivRevLE,2022-03-07 05:37,38103.48,1,-8.43,-0.02,230.67,-0.01,71.72,0.19,8.43,0.02
16,Exit Long,PivRevSE,2022-03-07 05:47,38095.05,1,-8.43,-0.02,230.67,-0.01,71.72,0.19,8.43,0.02
17,Entry Short,PivRevSE,2022-03-07 05:47,38095.05,1,-13.76,-0.04,216.91,-0.01,91.59,0.24,59.30,0.16
17,Exit Short,PivRevLE,2022-03-07 06:19,38108.81,1,-13.76,-0.04,216.91,-0.01,91.59,0.24,59.30,0.16
18,Entry Long,PivRevLE,2022-03-07 06:19,38108.81,1,28.80,0.08,245.71,0.03,121.68,0.32,9.18,0.02
18,Exit Long,PivRevSE,2022-03-07 06:48,38137.61,1,28.80,0.08,245.71,0.03,121.68,0.32,9.18,0.02
