Trade #,Type,Signal,Date/Time,Price,Contracts,Profit $,Profit %,Cum. Profit $,Cum. Profit %,Run-up $,Run-up %,Drawdown $,Drawdown %
1,Entry Long,MomLE,2022-02-21 00:42,38409.91,1,716.74,1.87,716.74,0.72,987.72,2.57,65.34,0.17
1,Exit Long,MomSE,2022-02-21 02:09,39126.65,1,716.74,1.87,716.74,0.72,987.72,2.57,65.34,0.17
2,Entry Short,MomSE,2022-02-21 02:09,39126.65,1,-49.89,-0.13,666.85,-0.05,61.95,0.16,64.25,0.16
2,Exit Short,MomLE,2022-02-21 02:36,39176.54,1,-49.89,-0.13,666.85,-0.05,61.95,0.16,64.25,0.16
3,Entry Long,MomLE,2022-02-21 02:36,39176.54,1,-31.68,-0.08,635.17,-0.03,21.42,0.05,31.68,0.08
3,Exit Long,MomSE,2022-02-21 02:42,39144.86,1,-31.68,-0.08,635.17,-0.03,21.42,0.05,31.68,0.08
4,Entry Short,MomSE,2022-02-21 02:42,39144.86,1,-57.40,-0.15,577.77,-0.06,2.21,0.01,57.40,0.15
4,Exit Short,MomLE,2022-02-21 02:48,39202.26,1,-57.40,-0.15,577.77,-0.06,2.21,0.01,57.40,0.15
5,Entry Long,MomLE,2022-02-21 02:48,39202.26,1,-7.31,-0.02,570.46,-0.01,73.59,0.19,88.58,0.23
5,Exit Long,MomSE,2022-02-21 03:27,39194.95,1,-7.31,-0.02,570.46,-0.01,73.59,0.19,88.58,0.23
6,Entry Short,MomSE,2022-02-21 03:27,39194.95,1,152.52,0.39,722.98,0.15,361.14,0.92,3.31,0.01
6,Exit Short,MomLE,2022-02-21 04:15,39042.43,1,152.52,0.39,722.98,0.15,361.14,0.92,3.31,0.01
7,Entry Long,MomLE,2022-02-21 04:15,39042.43,1,-33.54,-0.09,689.44,-0.03,17.70,0.05,33.54,0.09
7,Exit Long,MomSE,2022-02-21 04:18,39008.89,1,-33.54,-0.09,689.44,-0.03,17.70,0.05,33.54,0.09
8,Entry Short,MomSE,2022-02-21 04:18,39008.89,1,8.88,0.02,698.32,0.01,36.81,0.09,4.21,0.01
8,Exit Short,MomLE,2022-02-21 04:24,39000.01,1,8.88,0.02,698.32,0.01,36.81,0.09,4.21,0.01
9,Entry Long,MomLE,2022-02-21 04:24,39000.01,1,368.17,0.94,1066.49,0.37,494.10,1.27,10.73,0.03
9,Exit Long,MomSE,2022-02-21 05:33,39368.18,1,368.17,0.94,1066.49,0.37,494.10,1.27,10.73,0.03
10,Entry Short,MomSE,2022-02-21 05:33,39368.18,1,82.41,0.21,1148.90,0.08,188.18,0.48,0,0
10,Exit Short,MomLE,2022-02-21 06:33,39285.77,1,82.41,0.21,1148.90,0.08,188.18,0.48,0,0
11,Entry Long,MomLE,2022-02-21 06:33,39285.77,1,-47.46,-0.12,1101.44,-0.05,4.23,0.01,47.46,0.12
11,Exit Long,MomSE,2022-02-21 06:42,39238.31,1,-47.46,-0.12,1101.44,-0.05,4.23,0.01,47.46,0.12
12,Entry Short,MomSE,2022-02-21 06:42,39238.31,1,-0.54,0,1100.90,0,20.67,0.05,0.54,0
12,Exit Short,MomLE,2022-02-21 06:45,39238.85,1,-0.54,0,1100.90,0,20.67,0.05,0.54,0
13,Entry Long,MomLE,2022-02-21 06:45,39238.85,1,-114.54,-0.29,986.36,-0.11,34.93,0.09,114.54,0.29
13,Exit Long,MomSE,2022-02-21 07:06,39124.31,1,-114.54,-0.29,986.36,-0.11,34.93,0.09,114.54,0.29
14,Entry Short,MomSE,2022-02-21 07:06,39124.31,1,-155.35,-0.4,831.01,-0.15,30.70,0.08,155.35,0.4
14,Exit Short,MomLE,2022-02-21 07:30,39279.66,1,-155.35,-0.4,831.01,-0.15,30.70,0.08,155.35,0.4
15,Entry Long,MomLE,2022-02-21 07:30,39279.66,1,-62.80,-0.16,768.21,-0.06,3.56,0.01,62.80,0.16
15,Exit Long,MomSE,2022-02-21 07:33,39216.86,1,-62.80,-0.16,768.21,-0.06,3.56,0.01,62.80,0.16
16,Entry Short,MomSE,2022-02-21 07:33,39216.86,1,21.97,0.06,790.18,0.02,58.03,0.15,8.00,0.02
16,Exit Short,MomLE,2022-02-21 07:42,39194.89,1,21.97,0.06,790.18,0.02,58.03,0.15,8.00,0.02
17,Entry Long,MomLE,2022-02-21 07:42,39194.89,1,69.08,0.18,859.26,0.07,200.70,0.51,0,0
17,Exit Long,MomSE,2022-02-21 08:24,39263.97,1,69.08,0.18,859.26,0.07,200.70,0.51,0,0
18,Entry Short,MomSE,2022-02-21 08:24,39263.97,1,898.53,2.29,1757.79,0.89,1044.88,2.66,22.20,0.06
18,Exit Short,MomLE,2022-02-21 11:24,38365.44,1,898.53,2.29,1757.79,0.89,1044.88,2.66,22.20,0.06
19,Entry Long,MomLE,2022-02-21 11:24,38365.44,1,-66.31,-0.17,1691.48,-0.07,6.31,0.02,66.31,0.17
19,Exit Long,MomSE,2022-02-21 11:27,38299.13,1,-66.31,-0.17,1691.48,-0.07,6.31,0.02,66.31,0.17
20,Entry Short,MomSE,2022-02-21 11:27,38299.13,1,632.15,1.65,2323.63,0.62,923.53,2.41,11.35,0.03
20,Exit Short,MomLE,2022-02-21 12:27,37666.98,1,632.15,1.65,2323.63,0.62,923.53,2.41,11.35,0.03
21,Entry Long,MomLE,2022-02-21 12:27,37666.98,1,-73.34,-0.19,2250.29,-0.07,51.10,0.14,98.95,0.26
21,Exit Long,MomSE,2022-02-21 12:42,37593.64,1,-73.34,-0.19,2250.29,-0.07,51.10,0.14,98.95,0.26
22,Entry Short,MomSE,2022-02-21 12:42,37593.64,1,-75.14,-0.2,2175.15,-0.07,393.62,1.05,75.14,0.2
22,Exit Short,MomLE,2022-02-21 13:15,37668.78,1,-75.14,-0.2,2175.15,-0.07,393.62,1.05,75.14,0.2
23,Entry Long,MomLE,2022-02-21 13:15,37668.78,1,-133.63,-0.35,2041.52,-0.13,58.06,0.15,133.63,0.35
23,Exit Long,MomSE,2022-02-21 13:18,37535.15,1,-133.63,-0.35,2041.52,-0.13,58.06,0.15,133.63,0.35
24,Entry Short,MomSE,2022-02-21 13:18,37535.15,1,-31.84,-0.08,2009.68,-0.03,185.15,0.49,31.84,0.08
24,Exit Short,MomLE,2022-02-21 13:39,37566.99,1,-31.84,-0.08,2009.68,-0.03,185.15,0.49,31.84,0.08
25,Entry Long,MomLE,2022-02-21 13:39,37566.99,1,-67.00,-0.18,1942.68,-0.07,22.19,0.06,67.00,0.18
25,Exit Long,MomSE,2022-02-21 13:51,37499.99,1,-67.00,-0.18,1942.68,-0.07,22.19,0.06,67.00,0.18
26,Entry Short,MomSE,2022-02-21 13:51,37499.99,1,-132.20,-0.35,1810.48,-0.13,36.36,0.1,132.20,0.35
26,Exit Short,MomLE,2022-02-21 13:57,37632.19,1,-132.20,-0.35,1810.48,-0.13,36.36,0.1,132.20,0.35
27,Entry Long,MomLE,2022-02-21 13:57,37632.19,1,1237.23,3.29,3047.71,1.22,1671.95,4.44,193.54,0.51
27,Exit Long,MomSE,2022-02-21 15:45,38869.42,1,1237.23,3.29,3047.71,1.22,1671.95,4.44,193.54,0.51
28,Entry Short,MomSE,2022-02-21 15:45,38869.42,1,-9.16,-0.02,3038.55,-0.01,161.20,0.41,9.16,0.02
28,Exit Short,MomLE,2022-02-21 16:00,38878.58,1,-9.16,-0.02,3038.55,-0.01,161.20,0.41,9.16,0.02
29,Entry Long,MomLE,2022-02-21 16:00,38878.58,1,41.41,0.11,3079.96,0.04,290.15,0.75,113.94,0.29
29,Exit Long,MomSE,2022-02-21 16:42,38919.99,1,41.41,0.11,3079.96,0.04,290.15,0.75,113.94,0.29
30,Entry Short,MomSE,2022-02-21 16:42,38919.99,1,765.97,1.97,3845.93,0.74,1357.40,3.49,55.14,0.14
30,Exit Short,MomLE,2022-02-21 18:48,38154.02,1,765.97,1.97,3845.93,0.74,1357.40,3.49,55.14,0.14
31,Entry Long,MomLE,2022-02-21 18:48,38154.02,1,-401.99,-1.05,3443.94,-0.39,373.14,0.98,556.66,1.46
31,Exit Long,MomSE,2022-02-21 19:27,37752.03,1,-401.99,-1.05,3443.94,-0.39,373.14,0.98,556.66,1.46
