Trade #,Type,Signal,Date/Time,Price,Contracts,Profit $,Profit %,Cum. Profit $,Cum. Profit %,Run-up $,Run-up %,Drawdown $,Drawdown %
1,Entry Long,ParLE,2022-02-21 00:12,38397.08,1,796.04,2.07,796.04,0.8,1000.55,2.61,103.10,0.27
1,Exit Long,ParSE,2022-02-21 01:45,39193.12,1,796.04,2.07,796.04,0.8,1000.55,2.61,103.10,0.27
2,Entry Short,ParSE,2022-02-21 01:45,39193.12,1,26.92,0.07,822.96,0.03,128.42,0.33,127.44,0.33
2,Exit Short,ParLE,2022-02-21 02:30,39166.20,1,26.92,0.07,822.96,0.03,128.42,0.33,127.44,0.33
3,Entry Long,ParLE,2022-02-21 02:30,39166.20,1,-41.06,-0.1,781.90,-0.04,105.87,0.27,44.54,0.11
3,Exit Long,ParSE,2022-02-21 02:57,39125.14,1,-41.06,-0.1,781.90,-0.04,105.87,0.27,44.54,0.11
4,Entry Short,ParSE,2022-02-21 02:57,39125.14,1,-109.12,-0.28,672.78,-0.11,11.46,0.03,109.32,0.28
4,Exit Short,ParLE,2022-02-21 03:15,39234.26,1,-109.12,-0.28,672.78,-0.11,11.46,0.03,109.32,0.28
5,Entry Long,ParLE,2022-02-21 03:15,39234.26,1,-97.50,-0.25,575.28,-0.1,41.59,0.11,97.50,0.25
5,Exit Long,ParSE,2022-02-21 03:30,39136.76,1,-97.50,-0.25,575.28,-0.1,41.59,0.11,97.50,0.25
6,Entry Short,ParSE,2022-02-21 03:30,39136.76,1,87.84,0.22,663.12,0.09,302.95,0.77,0,0
6,Exit Short,ParLE,2022-02-21 04:15,39048.92,1,87.84,0.22,663.12,0.09,302.95,0.77,0,0
7,Entry Long,ParLE,2022-02-21 04:15,39048.92,1,271.96,0.7,935.08,0.27,445.19,1.14,76.84,0.2
7,Exit Long,ParSE,2022-02-21 05:36,39320.88,1,271.96,0.7,935.08,0.27,445.19,1.14,76.84,0.2
8,Entry Short,ParSE,2022-02-21 05:36,39320.88,1,72.09,0.18,1007.17,0.07,140.88,0.36,2.90,0.01
8,Exit Short,ParLE,2022-02-21 06:27,39248.79,1,72.09,0.18,1007.17,0.07,140.88,0.36,2.90,0.01
9,Entry Long,ParLE,2022-02-21 06:27,39248.79,1,-29.18,-0.07,977.99,-0.03,41.21,0.1,31.15,0.08
9,Exit Long,ParSE,2022-02-21 06:48,39219.61,1,-29.18,-0.07,977.99,-0.03,41.21,0.1,31.15,0.08
10,Entry Short,ParSE,2022-02-21 06:48,39219.61,1,-6.65,-0.02,971.34,-0.01,126.00,0.32,37.86,0.1
10,Exit Short,ParLE,2022-02-21 07:21,39226.26,1,-6.65,-0.02,971.34,-0.01,126.00,0.32,37.86,0.1
11,Entry Long,ParLE,2022-02-21 07:21,39226.26,1,76.90,0.2,1048.24,0.08,169.33,0.43,67.43,0.17
11,Exit Long,ParSE,2022-02-21 08:18,39303.16,1,76.90,0.2,1048.24,0.08,169.33,0.43,67.43,0.17
12,Entry Short,ParSE,2022-02-21 08:18,39303.16,1,273.44,0.7,1321.68,0.27,385.16,0.98,0,0
12,Exit Short,ParLE,2022-02-21 09:18,39029.72,1,273.44,0.7,1321.68,0.27,385.16,0.98,0,0
13,Entry Long,ParLE,2022-02-21 09:18,39029.72,1,-24.24,-0.06,1297.44,-0.02,76.55,0.2,25.14,0.06
13,Exit Long,ParSE,2022-02-21 09:54,39005.48,1,-24.24,-0.06,1297.44,-0.02,76.55,0.2,25.14,0.06
14,Entry Short,ParSE,2022-02-21 09:54,39005.48,1,637.28,1.63,1934.72,0.63,754.72,1.93,0,0
14,Exit Short,ParLE,2022-02-21 10:57,38368.20,1,637.28,1.63,1934.72,0.63,754.72,1.93,0,0
15,Entry Long,ParLE,2022-02-21 10:57,38368.20,1,-86.00,-0.22,1848.72,-0.08,84.33,0.22,86.00,0.22
15,Exit Long,ParSE,2022-02-21 11:09,38282.20,1,-86.00,-0.22,1848.72,-0.08,84.33,0.22,86.00,0.22
16,Entry Short,ParSE,2022-02-21 11:09,38282.20,1,546.70,1.43,2395.42,0.54,906.60,2.37,89.55,0.23
16,Exit Short,ParLE,2022-02-21 12:03,37735.50,1,546.70,1.43,2395.42,0.54,906.60,2.37,89.55,0.23
17,Entry Long,ParLE,2022-02-21 12:03,37735.50,1,-256.68,-0.68,2138.74,-0.25,83.60,0.22,308.36,0.82
17,Exit Long,ParSE,2022-02-21 12:45,37478.82,1,-256.68,-0.68,2138.74,-0.25,83.60,0.22,308.36,0.82
18,Entry Short,ParSE,2022-02-21 12:45,37478.82,1,-116.58,-0.31,2022.16,-0.11,278.80,0.74,126.20,0.34
18,Exit Short,ParLE,2022-02-21 13:12,37595.40,1,-116.58,-0.31,2022.16,-0.11,278.80,0.74,126.20,0.34
19,Entry Long,ParLE,2022-02-21 13:12,37595.40,1,960.63,2.56,2982.79,0.94,1285.91,3.42,245.40,0.65
19,Exit Long,ParSE,2022-02-21 14:45,38556.03,1,960.63,2.56,2982.79,0.94,1285.91,3.42,245.40,0.65
20,Entry Short,ParSE,2022-02-21 14:45,38556.03,1,-298.73,-0.77,2684.06,-0.29,16.81,0.04,298.73,0.77
20,Exit Short,ParLE,2022-02-21 14:57,38854.76,1,-298.73,-0.77,2684.06,-0.29,16.81,0.04,298.73,0.77
21,Entry Long,ParLE,2022-02-21 14:57,38854.76,1,-26.11,-0.07,2657.95,-0.03,449.38,1.16,196.40,0.51
