Trade #,Type,Signal,Date/Time,Price,Contracts,Profit $,Profit %,Cum. Profit $,Cum. Profit %,Run-up $,Run-up %,Drawdown $,Drawdown %
1,Entry Long,PivRevLE,2022-02-07 01:15,41905.88,1,855.72,2.04,855.72,0.86,1161.86,2.77,87.00,0.21
1,Exit Long,PivRevSE,2022-02-07 05:35,42761.60,1,855.72,2.04,855.72,0.86,1161.86,2.77,87.00,0.21
2,Entry Short,PivRevSE,2022-02-07 05:35,42761.60,1,231.06,0.54,1086.78,0.23,494.35,1.16,117.38,0.27
2,Exit Short,PivRevLE,2022-02-07 10:15,42530.54,1,231.06,0.54,1086.78,0.23,494.35,1.16,117.38,0.27
3,Entry Long,PivRevLE,2022-02-07 10:15,42530.54,1,125.08,0.29,1211.86,0.12,293.45,0.69,33.68,0.08
3,Exit Long,PivRevSE,2022-02-07 12:05,42655.62,1,125.08,0.29,1211.86,0.12,293.45,0.69,33.68,0.08
4,Entry Short,PivRevSE,2022-02-07 12:05,42655.62,1,-140.88,-0.33,1070.98,-0.14,116.91,0.27,140.88,0.33
4,Exit Short,PivRevLE,2022-02-07 13:15,42796.50,1,-140.88,-0.33,1070.98,-0.14,116.91,0.27,140.88,0.33
5,Entry Long,PivRevLE,2022-02-07 13:15,42796.50,1,875.53,2.05,1946.51,0.87,1355.46,3.17,71.03,0.17
5,Exit Long,PivRevSE,2022-02-07 16:40,43672.03,1,875.53,2.05,1946.51,0.87,1355.46,3.17,71.03,0.17
6,Entry Short,PivRevSE,2022-02-07 16:40,43672.03,1,-173.68,-0.4,1772.83,-0.17,144.27,0.33,173.68,0.4
6,Exit Short,PivRevLE,2022-02-07 17:20,43845.71,1,-173.68,-0.4,1772.83,-0.17,144.27,0.33,173.68,0.4
7,Entry Long,PivRevLE,2022-02-07 17:20,43845.71,1,239.63,0.55,2012.46,0.24,678.47,1.55,89.51,0.2
7,Exit Long,PivRevSE,2022-02-07 18:40,44085.34,1,239.63,0.55,2012.46,0.24,678.47,1.55,89.51,0.2
8,Entry Short,PivRevSE,2022-02-07 18:40,44085.34,1,-51.93,-0.12,1960.53,-0.05,298.11,0.68,436.40,0.99
8,Exit Short,PivRevLE,2022-02-07 22:20,44137.27,1,-51.93,-0.12,1960.53,-0.05,298.11,0.68,436.40,0.99
9,Entry Long,PivRevLE,2022-02-07 22:20,44137.27,1,-291.28,-0.66,1669.25,-0.29,85.69,0.19,291.28,0.66
9,Exit Long,PivRevSE,2022-02-07 23:25,43845.99,1,-291.28,-0.66,1669.25,-0.29,85.69,0.19,291.28,0.66
10,Entry Short,PivRevSE,2022-02-07 23:25,43845.99,1,-115.21,-0.26,1554.04,-0.11,70.99,0.16,115.21,0.26
10,Exit Short,PivRevLE,2022-02-08 00:00,43961.20,1,-115.21,-0.26,1554.04,-0.11,70.99,0.16,115.21,0.26
11,Entry Long,PivRevLE,2022-02-08 00:00,43961.20,1,-186.21,-0.42,1367.83,-0.18,13.52,0.03,186.21,0.42
11,Exit Long,PivRevSE,2022-02-08 00:10,43774.99,1,-186.21,-0.42,1367.83,-0.18,13.52,0.03,186.21,0.42
12,Entry Short,PivRevSE,2022-02-08 00:10,43774.99,1,-143.36,-0.33,1224.47,-0.14,174.99,0.4,143.36,0.33
12,Exit Short,PivRevLE,2022-02-08 00:45,43918.35,1,-143.36,-0.33,1224.47,-0.14,174.99,0.4,143.36,0.33
13,Entry Long,PivRevLE,2022-02-08 00:45,43918.35,1,82.92,0.19,1307.39,0.08,216.85,0.49,86.15,0.2
13,Exit Long,PivRevSE,2022-02-08 02:45,44001.27,1,82.92,0.19,1307.39,0.08,216.85,0.49,86.15,0.2
14,Entry Short,PivRevSE,2022-02-08 02:45,44001.27,1,-111.19,-0.25,1196.20,-0.11,121.65,0.28,111.19,0.25
14,Exit Short,PivRevLE,2022-02-08 03:35,44112.46,1,-111.19,-0.25,1196.20,-0.11,121.65,0.28,111.19,0.25
15,Entry Long,PivRevLE,2022-02-08 03:35,44112.46,1,512.46,1.16,1708.66,0.51,1388.54,3.15,14.46,0.03
15,Exit Long,PivRevSE,2022-02-08 06:45,44624.92,1,512.46,1.16,1708.66,0.51,1388.54,3.15,14.46,0.03
16,Entry Short,PivRevSE,2022-02-08 06:45,44624.92,1,-258.04,-0.58,1450.62,-0.25,47.31,0.11,258.04,0.58
16,Exit Short,PivRevLE,2022-02-08 07:20,44882.96,1,-258.04,-0.58,1450.62,-0.25,47.31,0.11,258.04,0.58
17,Entry Long,PivRevLE,2022-02-08 07:20,44882.96,1,-305.36,-0.68,1145.26,-0.3,96.49,0.21,305.36,0.68
17,Exit Long,PivRevSE,2022-02-08 08:05,44577.60,1,-305.36,-0.68,1145.26,-0.3,96.49,0.21,305.36,0.68
18,Entry Short,PivRevSE,2022-02-08 08:05,44577.60,1,683.24,1.53,1828.50,0.68,1002.24,2.25,37.76,0.08
18,Exit Short,PivRevLE,2022-02-08 10:50,43894.36,1,683.24,1.53,1828.50,0.68,1002.24,2.25,37.76,0.08
19,Entry Long,PivRevLE,2022-02-08 10:50,43894.36,1,-143.03,-0.33,1685.47,-0.14,203.12,0.46,143.03,0.33
19,Exit Long,PivRevSE,2022-02-08 12:15,43751.33,1,-143.03,-0.33,1685.47,-0.14,203.12,0.46,143.03,0.33
20,Entry Short,PivRevSE,2022-02-08 12:15,43751.33,1,177.99,0.41,1863.46,0.18,571.33,1.31,0,0
20,Exit Short,PivRevLE,2022-02-08 13:35,43573.34,1,177.99,0.41,1863.46,0.18,571.33,1.31,0,0
21,Entry Long,PivRevLE,2022-02-08 13:35,43573.34,1,-17.29,-0.04,1846.17,-0.02,314.66,0.72,97.17,0.22
21,Exit Long,PivRevSE,2022-02-08 15:00,43556.05,1,-17.29,-0.04,1846.17,-0.02,314.66,0.72,97.17,0.22
22,Entry Short,PivRevSE,2022-02-08 15:00,43556.05,1,-47.88,-0.11,1798.29,-0.05,611.05,1.4,47.88,0.11
22,Exit Short,PivRevLE,2022-02-08 16:15,43603.93,1,-47.88,-0.11,1798.29,-0.05,611.05,1.4,47.88,0.11
23,Entry Long,PivRevLE,2022-02-08 16:15,43603.93,1,-658.94,-1.51,1139.35,-0.65,126.46,0.29,658.94,1.51
23,Exit Long,PivRevSE,2022-02-08 17:05,42944.99,1,-658.94,-1.51,1139.35,-0.65,126.46,0.29,658.94,1.51
24,Entry Short,PivRevSE,2022-02-08 17:05,42944.99,1,-160.57,-0.37,978.78,-0.16,243.80,0.57,219.65,0.51
24,Exit Short,PivRevLE,2022-02-08 18:10,43105.56,1,-160.57,-0.37,978.78,-0.16,243.80,0.57,219.65,0.51
